1599277713;34.3
1599277718;1.1
1599277723;0.8
1599277728;1.1
1599277733;0.9
1599277738;0.9
1599277743;1.3
1599277748;1.0
1599277753;1.1
1599277758;1.2
1599277763;1.1
1599277768;1.3
1599277773;1.1
1599277778;1.3
1599279445;26.4
1599279451;1.2
1599279456;9.2
1599279461;10.0
1599279466;0.7
1599279471;0.8
1599279476;0.7
1599279481;1.2
1599279486;1.0
1599279491;2.9
1599279496;0.7
1599279501;0.9
1599279506;0.9
1599279511;0.7
1599279516;0.7
1599279521;0.6
1599279526;1.0
1599279531;0.5
1599279536;0.9
1599279541;0.5
1599279546;0.8
1599279551;0.7
1599279556;2.2
1599279561;1.6
1599279566;0.9
1599279571;0.8
1599279576;0.7
1599279581;9.5
1599279586;1.0
1599279591;7.2
1599279596;5.8
1599279601;0.6
1599279606;1.1
1599279611;0.7
1599279616;2.0
1599279621;0.6
1599279626;1.1
1599279631;1.2
1599279636;0.6
1599279641;0.8
1599279646;0.9
1599279651;0.5
1599279656;0.6
1599279661;0.7
1599279666;0.8
1599279671;0.6
1599279676;1.0
1599279681;1.1
1599279686;1.2
1599279691;0.8
1599279696;0.8
1599279701;0.8
1599279706;0.9
