1599277713;770;1720
1599277718;1613;1519
1599277723;132;380
1599277728;358;1618
1599277733;210;856
1599277738;406;1564
1599277743;708;1208
1599277748;540;1116
1599277753;842;1754
1599277758;270;776
1599277763;358;794
1599277768;386;1738
1599277773;0;180
1599277778;984;2336
1599279446;54;254
1599279451;1940;1818
1599279456;6934;1776
1599279461;54;614
1599279466;0;300
1599279471;474;1586
1599279476;162;628
1599279481;366;448
1599279486;474;1586
1599279491;162;628
1599279496;420;634
1599279501;428;772
1599279506;120;568
1599279511;786;1646
1599279516;54;494
1599279521;162;514
1599279526;594;1646
1599279531;468;1048
1599279536;216;504
1599279541;1206;1896
1599279546;174;434
1599279551;732;1692
1599279556;176;434
1599279561;268;898
1599279566;932;1666
1599279571;666;1596
1599279576;0;420
1599279581;45122;2842
1599279586;1397;2647
1599279591;2986;10379
1599279596;0;0
1599279601;0;540
1599279606;840;1554
1599279611;970;1966
1599279616;8816;5928
1599279621;54;614
1599279626;108;448
1599279631;732;1812
1599279636;54;314
1599279641;312;554
1599279646;10570;8726
1599279651;84;370
1599279656;788;1593
1599279661;110;680
1599279666;542;1244
1599279671;678;1512
1599279676;11049;6159
1599279681;728;1078
1599279686;528;1780
1599279691;54;554
1599279696;894;2048
1599279701;228;988
1599279706;108;305
